Tree,Common_Name,Botanical,DBH,Age_Class,Condition
992,Maple-Sugar,Acer saccharum,30,Mature,Fair
993,Maple-Sugar,Acer saccharum,22,Mature,Fair
994,Maple-Sugar,Acer saccharum,23,Mature,Fair
995,Maple-Sugar,Acer saccharum,25,Mature,Good
996,Maple-Sugar,Acer saccharum,24,Mature,Good
997,Maple-Sugar,Acer saccharum,26,Mature,Good
998,Maple-Sugar,Acer saccharum,22,Mature,Good
999,Maple-Sugar,Acer saccharum,20,Mature,Good
1000,Hackberry,Celtis occidentalis,5,Young,Fair
1001,Maple-Sugar,Acer saccharum,27,Mature,Fair
1002,Oak-English,Quercus robur,2,New planting,Fair
1003,Fir-Balsam,Abies balsamea,5,Young,Good
1004,Ash-Green,Fraxinus pennsylvanica,18,Semi-mature,Fair
1005,Oak-English,Quercus robur,2,New planting,Fair
1006,Fir-Balsam,Abies balsamea,3,New planting,Poor
1007,Linden-Littleleaf,Tilia cordata,10,Semi-mature,Fair
1008,Linden-Littleleaf,Tilia cordata,13,Semi-mature,Fair
1009,Linden-Littleleaf,Tilia cordata,13,Semi-mature,Fair
1010,Linden-Littleleaf,Tilia cordata,15,Semi-mature,Fair
1011,Pine-Eastern White,Pinus strobus,6,Semi-mature,Good
1012,Oak- Northern Red,Quercus rubra,20,Semi-mature,Fair
1013,Birch-Gray,Betula populifolia,5,Young,Good
1014,Birch-Gray,Betula populifolia,4,Young,Good
1015,Oak-Pin,Quercus palustris,20,Semi-mature,Fair
1016,Linden-Littleleaf,Tilia cordata,17,Semi-mature,Fair
1017,Linden-Littleleaf,Tilia cordata,17,Semi-mature,Fair
1018,Linden-Littleleaf,Tilia cordata,15,Semi-mature,Fair
1019,Linden-Littleleaf,Tilia cordata,16,Semi-mature,Fair
1020,Linden-Littleleaf,Tilia cordata,14,Semi-mature,Fair
1021,Linden-Littleleaf,Tilia cordata,18,Semi-mature,Fair
1022,Linden-Littleleaf,Tilia cordata,17,Semi-mature,Fair
1023,Arborvitae-Eastern,Thuja occidentalis,5,Semi-mature,Good
1024,Linden-Littleleaf,Tilia cordata,14,Semi-mature,Good
1025,Hornbeam-American,Carpinus caroliniana,5,Young,Poor
1026,Linden-Littleleaf,Tilia cordata,6,Young,Poor
1027,Linden-Littleleaf,Tilia cordata,8,Semi-mature,Fair
1028,Linden-Littleleaf,Tilia cordata,7,Semi-mature,Fair
1029,Linden-Littleleaf,Tilia cordata,12,Semi-mature,Fair
1030,Linden-European,Tilia x europaea,2,Young,Fair
1031,Crabapple,Malus sp,6,Semi-mature,Good
1032,Linden-European,Tilia x europaea,4,Young,Good
1033,Ginkgo,Ginkgo biloba,7,Semi-mature,Fair
1034,Linden-European,Tilia x europaea,3,Young,Good
1035,Linden-European,Tilia x europaea,3,Young,Good
1036,Linden-European,Tilia x europaea,3,Young,Fair
1037,Hornbeam-American,Carpinus caroliniana,4,Young,Fair
1038,Zelkova-Japanese,Zelkova serrata,4,Young,Dead
1039,Hornbeam-American,Carpinus caroliniana,4,Young,Fair
1040,Hornbeam-American,Carpinus caroliniana,2,Young,Poor
1041,Hornbeam-American,Carpinus caroliniana,3,Young,Good
1042,Hornbeam-American,Carpinus caroliniana,4,Young,Fair
1043,Hornbeam-American,Carpinus caroliniana,3,Young,Fair
1044,Hornbeam-American,Carpinus caroliniana,3,Young,Good
1045,Hornbeam-American,Carpinus caroliniana,4,Young,Good
1046,Hornbeam-American,Carpinus caroliniana,3,Young,Fair
1047,Linden-European,Tilia x europaea,3,Young,Good
1048,Linden-European,Tilia x europaea,4,Young,Good
1049,Linden-European,Tilia x europaea,4,Young,Good
1050,Linden-European,Tilia x europaea,4,Young,Good
1051,Serviceberry,Amelanchier sp,3,Young,Poor
1052,Serviceberry,Amelanchier sp,3,Young,Fair
1053,Linden-European,Tilia x europaea,3,Young,Good
1054,Linden-European,Tilia x europaea,3,Young,Good
1055,Linden-European,Tilia x europaea,3,Young,Good
1056,Serviceberry,Amelanchier sp,3,Young,Good
1057,Serviceberry,Amelanchier sp,3,Young,Fair
1058,Linden-European,Tilia x europaea,2,Young,Poor
1059,Weeping Cherry,Prunus subhirtella,1,New planting,Good
1060,Crabapple,Malus sp,3,Young,Good
1061,Spruce-White,Picea glauca,5,Young,Good
1062,Spruce-White,Picea glauca,4,Young,Fair
1063,Spruce-White,Picea glauca,5,Young,Fair
1064,Linden-European,Tilia x europaea,3,Young,Fair
1065,Arborvitae-Eastern,Thuja occidentalis,2,Young,Good
1066,Arborvitae-Eastern,Thuja occidentalis,2,Young,Good
1067,Arborvitae-Eastern,Thuja occidentalis,2,Young,Good
1068,Serviceberry,Amelanchier sp,6,Semi-mature,Fair
1069,Serviceberry,Amelanchier sp,4,Semi-mature,Fair
1070,Serviceberry,Amelanchier sp,5,Semi-mature,Fair
1071,Serviceberry,Amelanchier sp,4,Semi-mature,Poor
1072,Serviceberry,Amelanchier sp,4,Semi-mature,Fair
1073,Serviceberry,Amelanchier sp,5,Semi-mature,Poor
1074,Serviceberry,Amelanchier sp,5,Semi-mature,Fair
1075,Serviceberry,Amelanchier sp,4,Semi-mature,Poor
1076,Serviceberry,Amelanchier sp,5,Semi-mature,Fair
1077,Linden-European,Tilia x europaea,2,Young,Fair
1078,Linden-European,Tilia x europaea,3,Young,Fair
1079,Linden-European,Tilia x europaea,3,Young,Fair
1080,Oak- Northern Red,Quercus rubra,47,Mature,Fair
1081,Oak- Northern Red,Quercus rubra,18,Mature,Poor
1082,Oak- Northern Red,Quercus rubra,21,Mature,Poor
1083,Oak- Northern Red,Quercus rubra,8,Semi-mature,Poor
1084,Oak- Northern Red,Quercus rubra,22,Mature,Poor
1085,Oak- Northern Red,Quercus rubra,23,Mature,Poor
1086,Oak- Northern Red,Quercus rubra,22,Mature,Poor
1087,Oak- Northern Red,Quercus rubra,14,Semi-mature,Poor
1088,Oak- Northern Red,Quercus rubra,21,Mature,Poor
1089,Oak- Northern Red,Quercus rubra,23,Mature,Fair
1090,Oak- Northern Red,Quercus rubra,13,Semi-mature,Fair
1091,Oak- Northern Red,Quercus rubra,25,Mature,Fair
1092,Oak- Northern Red,Quercus rubra,24,Mature,Fair
1093,Hornbeam-American,Ostrya virginiana,3,Mature,Good
1094,Cherry-Yoshino,Prunus x yedoensis,10,Semi-mature,Fair
1095,Katsuratree,Cercidiphyllum japonicum,6,Semi-mature,Good
1096,Oak-Swamp White,Quercus bicolor,14,Semi-mature,Fair
1097,Crimson King Maple,Acer platanoides,6,Semi-mature,Good
1098,Oak-Shingle,Quercus imbricaria,8,Semi-mature,Good
1099,Oak-Swamp White,Quercus bicolor,17,Semi-mature,Good
1100,Oak- Northern Red,Quercus rubra,27,Mature,Poor
1101,Maple-Sugar,Acer saccharum,16,Semi-mature,Good
1102,Hemlock-Canadian,Tsuga canadensis,8,Semi-mature,Good
1103,Hemlock-Canadian,Tsuga canadensis,7,Semi-mature,Good
1104,Serviceberry,Amelanchier sp,5,Mature,Good
1105,Maple-Norway,Acer platanoides,7,Semi-mature,Good
1106,Oak- Northern Red,Quercus rubra,13,Semi-mature,Good
1107,Maple-Norway,Acer platanoides,7,Semi-mature,Fair
1108,Maple-Norway,Acer platanoides,10,Semi-mature,Good
1109,Maple-Norway,Acer platanoides,9,Semi-mature,Good
1110,Oak- Northern Red,Quercus rubra,24,Mature,Fair
1111,Oak- Northern Red,Quercus rubra,8,Semi-mature,Good
1112,Ash-Green,Fraxinus pennsylvanica,6,Semi-mature,Fair
1113,Falsecypress-Sawara,Chamaecyparis pisifera,20,Mature,Fair
1114,Spruce-Colorado Blue,Picea pungens,16,Mature,Good
1115,Mulberry-White,Morus alba,10,Mature,Fair
1116,Locust-Black,Robinia pseudoacacia,18,Mature,Fair
1117,Locust-Black,Robinia pseudoacacia,13,Semi-mature,Fair
1118,Maple-Norway,Acer platanoides,12,Semi-mature,Fair
1119,Maple-Norway,Acer platanoides,5,Young,Poor
1120,Maple-Norway,Acer platanoides,5,Young,Fair
1121,Locust-Black,Robinia pseudoacacia,4,Young,Fair
1122,Maple-Norway,Acer platanoides,9,Semi-mature,Fair
1123,Locust-Black,Robinia pseudoacacia,14,Semi-mature,Fair
1124,Arborvitae-Eastern,Thuja occidentalis,12,Mature,Good
1125,Arborvitae-Eastern,Thuja occidentalis,9,Mature,Good
1126,Arborvitae-Eastern,Thuja occidentalis,10,Mature,Good
1127,Honeylocust-Thornless Common,Gleditsia triacanthos,19,Mature,Good
1128,Honeylocust-Thornless Common,Gleditsia triacanthos,18,Mature,Good
1129,Elm-American,Ulmus americana,7,Young,Fair
1130,Maple-Norway,Acer platanoides,14,Semi-mature,Good
1131,Birch-River,Betula nigra,3,Young,Good
1132,Birch-River,Betula nigra,4,Young,Good
1133,Birch-River,Betula nigra,4,Young,Good
1134,Birch-River,Betula nigra,4,Young,Good
1135,Birch-River,Betula nigra,5,Young,Good
1136,Maple-Sugar,Acer saccharum,33,Mature,Fair
1137,Locust-Black,Robinia pseudoacacia,15,Mature,Poor
1138,Locust-Black,Robinia pseudoacacia,13,Mature,Fair
1139,Maple-Sugar,Acer saccharum,20,Mature,Fair
1140,Locust-Black,Robinia pseudoacacia,28,Mature,Fair
1141,Locust-Black,Robinia pseudoacacia,14,Semi-mature,Fair
1142,Locust-Black,Robinia pseudoacacia,12,Semi-mature,Fair
1143,Locust-Black,Robinia pseudoacacia,12,Semi-mature,Fair
1144,Maple-Red,Acer rubrum,15,Mature,Fair
1145,Maple-Sugar,Acer saccharum,12,Mature,Good
1146,Spruce-Colorado Blue,Picea pungens,15,Mature,Good
1147,Pine-Eastern White,Pinus strobus,19,Mature,Poor
1148,Pine-Eastern White,Pinus strobus,12,Semi-mature,Good
1149,Pine-Eastern White,Pinus strobus,26,Mature,Good
1150,Elm-American,Ulmus americana,18,Mature,Fair
1151,Fir-White,Abies concolor,17,Mature,Good
1152,Oak- Northern Red,Quercus rubra,34,Mature,Good
1153,Maple-Sugar,Acer saccharum,3,Young,Good
1154,Katsuratree,Cercidiphyllum japonicum,13,Mature,Good
1155,Katsuratree,Cercidiphyllum japonicum,9,Semi-mature,Fair
1156,Katsuratree,Cercidiphyllum japonicum,16,Mature,Good
1157,Katsuratree,Cercidiphyllum japonicum,14,Mature,Good
1158,Katsuratree,Cercidiphyllum japonicum,14,Mature,Fair
1159,Katsuratree,Cercidiphyllum japonicum,14,Mature,Fair
1160,Katsuratree,Cercidiphyllum japonicum,11,Mature,Fair
1161,Katsuratree,Cercidiphyllum japonicum,8,Semi-mature,Good
1162,Maple-Freeman's,Acer x freemanii,2,Young,Good
1163,Redwood-Dawn,Metasequoia glyptostroboides,22,Mature,Good
1164,Redwood-Dawn,Metasequoia glyptostroboides,26,Mature,Good
1165,Redwood-Dawn,Metasequoia glyptostroboides,14,Semi-mature,Good
1166,Redwood-Dawn,Metasequoia glyptostroboides,13,Semi-mature,Good
1167,Redwood-Dawn,Metasequoia glyptostroboides,26,Mature,Good
1168,Hemlock-Canadian,Tsuga canadensis,16,Mature,Fair
1169,Spruce-Norway,Picea abies,29,Mature,Good
1170,Maple-Norway,Acer platanoides,14,Semi-mature,Good
1171,Linden-Littleleaf,Tilia cordata,20,Mature,Good
1172,Crimson King Maple,Acer platanoides,15,Semi-mature,Good
1173,Cherry,Prunus sp,1,Young,Good
1174,Cherry,Prunus sp,1,Young,Good
1175,Maple-Red,Acer rubrum,29,Mature,Good
1176,Redcedar-Eastern,Juniperus virginiana,20,Mature,Fair
1177,Maple-Sugar,Acer saccharum,23,Over-mature,Poor
1178,Crabapple,Malus sp,6,Mature,Good
1179,Crabapple,Malus sp,8,Mature,Fair
1180,Cherry,Prunus sp,13,Mature,Good
1181,Honeylocust-Thornless Common,Gleditsia triacanthos,2,Young,Good
1182,Crabapple,Malus sp,10,Mature,Good
1183,Crabapple,Malus sp,6,Mature,Good
1184,Crabapple,Malus sp,8,Mature,Good
1185,Crabapple,Malus sp,8,Mature,Fair
1186,Hemlock-Canadian,Tsuga canadensis,1,New planting,Good
1187,Hemlock-Canadian,Tsuga canadensis,1,New planting,Poor
1188,Hemlock-Canadian,Tsuga canadensis,1,New planting,Good
1189,Hemlock-Canadian,Tsuga canadensis,1,New planting,Fair
1190,Hemlock-Canadian,Tsuga canadensis,1,New planting,Poor
1191,Hemlock-Canadian,Tsuga canadensis,1,New planting,Good
1192,Hemlock-Canadian,Tsuga canadensis,1,New planting,Good
1193,Hemlock-Canadian,Tsuga canadensis,1,New planting,Good
1194,Pine-Eastern White,Pinus strobus,12,Mature,Fair
1195,Pine-Eastern White,Pinus strobus,14,Mature,Fair
1196,Pine-Eastern White,Pinus strobus,14,Mature,Fair
1197,Pine-Eastern White,Pinus strobus,16,Mature,Good
1198,Pine-Eastern White,Pinus strobus,14,Mature,Fair
1199,Pine-Eastern White,Pinus strobus,10,Mature,Good
1200,Pine-Eastern White,Pinus strobus,11,Mature,Fair
1201,Pine-Eastern White,Pinus strobus,16,Mature,Good
1202,Pine-Eastern White,Pinus strobus,5,Semi-mature,Fair
1203,Pine-Eastern White,Pinus strobus,14,Mature,Good
1204,Pine-Eastern White,Pinus strobus,12,Mature,Good
1205,Pine-Eastern White,Pinus strobus,11,Mature,Good
1206,Pine-Eastern White,Pinus strobus,13,Mature,Good
1207,Pine-Eastern White,Pinus strobus,10,Mature,Good
1208,Pine-Eastern White,Pinus strobus,17,Mature,Good
1209,Pine-Eastern White,Pinus strobus,15,Mature,Good
1210,Pine-Eastern White,Pinus strobus,14,Mature,Good
1211,Pine-Eastern White,Pinus strobus,16,Mature,Good
1212,Pine-Eastern White,Pinus strobus,4,Semi-mature,Fair
1213,Pine-Eastern White,Pinus strobus,16,Mature,Good
1214,Pine-Eastern White,Pinus strobus,11,Mature,Good
1215,Pine-Eastern White,Pinus strobus,13,Mature,Good
1216,Pine-Eastern White,Pinus strobus,11,Mature,Good
1217,Pine-Eastern White,Pinus strobus,15,Mature,Good
1218,Crabapple,Malus sp,7,Mature,Good
1219,Crabapple,Malus sp,7,Mature,Good
1220,Maple-Sugar,Acer saccharum,11,Semi-mature,Fair
1221,Spruce-Colorado Blue,Picea pungens,16,Mature,Good
1222,Birch-Gray,Betula populifolia,9,Mature,Fair
1223,Crabapple,Malus sp,7,Mature,Good
1224,Crabapple,Malus sp,2,Semi-mature,Poor
1225,Honeylocust-Thornless Common,Gleditsia triacanthos,16,Mature,Good
1226,Honeylocust-Thornless Common,Gleditsia triacanthos,13,Semi-mature,Good
1227,Honeylocust-Thornless Common,Gleditsia triacanthos,14,Semi-mature,Good
1228,Locust-Black,Robinia pseudoacacia,28,Mature,Poor
1229,Maple-Sugar,Acer saccharum,15,Semi-mature,Good
1230,Crabapple,Malus sp,9,Mature,Good
1231,Ash-Green,Fraxinus pennsylvanica,14,Semi-mature,Good
1232,Apple-Common,Malus domestica,5,Mature,Fair
1233,Apple-Common,Malus domestica,7,Mature,Fair
1234,Pine-Eastern White,Pinus strobus,22,Mature,Good
1235,Pine-Eastern White,Pinus strobus,16,Mature,Fair
1236,Ash-Green,Fraxinus pennsylvanica,11,Semi-mature,Fair
1237,Ash-White,Fraxinus americana,7,Semi-mature,Poor
1238,Boxelder,Acer negundo,7,Semi-mature,Fair
1239,Boxelder,Acer negundo,15,Mature,Fair
1240,Elm-American,Ulmus americana,15,Semi-mature,Fair
1241,Maple-Norway,Acer platanoides,15,Mature,Fair
1242,Oak- Northern Red,Quercus rubra,18,Mature,Good
1243,Elm-American,Ulmus americana,15,Semi-mature,Fair
1244,Maple-Norway,Acer platanoides,16,Mature,Good
1245,Walnut-Black,Juglans nigra,16,Mature,Fair
1246,Maple-Norway,Acer platanoides,24,Mature,Fair
1247,Ash-Green,Fraxinus pennsylvanica,22,Mature,Fair
1248,Spruce-Norway,Picea abies,15,Mature,Good
1249,Spruce-Norway,Picea abies,16,Mature,Good
1250,Spruce-Norway,Picea abies,13,Mature,Good
1251,Spruce-Colorado Blue,Picea pungens,14,Mature,Good
1252,Spruce-Colorado Blue,Picea pungens,18,Mature,Good
1253,Hemlock-Canadian,Tsuga canadensis,1,New planting,Good
1254,Hemlock-Canadian,Tsuga canadensis,1,New planting,Fair
1255,Hemlock-Canadian,Tsuga canadensis,1,New planting,Fair
1256,Maple-Norway,Acer platanoides,25,Mature,Good
1257,Maple-Sugar,Acer saccharum,15,Semi-mature,Poor
1258,Hawthorn,Crataegus sp,6,Mature,Fair
1259,Hawthorn,Crataegus sp,7,Mature,Fair
1260,Hawthorn,Crataegus sp,8,Mature,Fair
1261,Hawthorn,Crataegus sp,6,Mature,Fair
1262,Hawthorn,Crataegus sp,8,Mature,Fair
1263,Hawthorn,Crataegus sp,3,Mature,Poor
1264,Hawthorn,Crataegus sp,3,Mature,Poor
1265,Hawthorn,Crataegus sp,7,Mature,Fair
1266,Hawthorn,Crataegus sp,8,Mature,Fair
1267,Hawthorn,Crataegus sp,7,Mature,Poor
1268,Hawthorn,Crataegus sp,8,Mature,Fair
1269,Hawthorn,Crataegus sp,6,Mature,Fair
1270,Hawthorn,Crataegus sp,8,Mature,Fair
1271,Hawthorn,Crataegus sp,7,Mature,Poor
1272,Hawthorn,Crataegus sp,6,Mature,Poor
1273,Hawthorn,Crataegus sp,6,Mature,Fair
1274,Hawthorn,Crataegus sp,6,Mature,Poor
1275,Hawthorn,Crataegus sp,6,Mature,Poor
1276,Elm,Ulmus sp,2,New planting,Good
1277,Hawthorn,Crataegus sp,6,Mature,Fair
1278,Hawthorn,Crataegus sp,7,Mature,Fair
1279,Hawthorn,Crataegus sp,6,Mature,Poor
1280,Hawthorn,Crataegus sp,6,Mature,Fair
1281,Hawthorn,Crataegus sp,6,Mature,Fair
1282,Hawthorn,Crataegus sp,5,Mature,Fair
1283,Hawthorn,Crataegus sp,6,Mature,Fair
1284,Hawthorn,Crataegus sp,6,Mature,Fair
1285,Hawthorn,Crataegus sp,6,Mature,Poor
1286,Hawthorn,Crataegus sp,6,Mature,Poor
1287,Hawthorn,Crataegus sp,5,Mature,Poor
1288,Hawthorn,Crataegus sp,6,Mature,Fair
1289,Serviceberry,Amelanchier sp,1,Mature,Poor
1290,Serviceberry,Amelanchier sp,2,Mature,Fair
1291,Crabapple,Malus sp,3,Mature,Fair
1292,Serviceberry,Amelanchier sp,2,Mature,Fair
1293,Hornbeam-American,Ostrya virginiana,2,Young,Fair
1294,Beech-American,Fagus grandifolia,3,Young,Good
1295,Tupelo-Black,Nyssa sylvatica,2,Young,Good
1296,Beech-American,Fagus grandifolia,4,Young,Good
1297,Tupelo-Black,Nyssa sylvatica,2,Young,Good
1298,Tupelo-Black,Nyssa sylvatica,3,Young,Good
1299,Birch-River,Betula nigra,3,Young,Good
1300,Birch-River,Betula nigra,4,Young,Good
1301,Serviceberry,Amelanchier sp,3,Semi-mature,Fair
1302,Maple-Red,Acer rubrum,3,New planting,Good
1303,Elm,Ulmus sp,4,Young,Good
1304,Redcedar-Eastern,Juniperus virginiana,5,Mature,Poor
1305,Redcedar-Eastern,Juniperus virginiana,4,Mature,Poor
1306,Baldcypress-Common,Taxodium distichum,2,Young,Fair
1307,Spruce-White,Picea glauca,6,Semi-mature,Fair
1308,Spruce-White,Picea glauca,4,Young,Fair
1309,Hemlock-Canadian,Tsuga canadensis,10,Semi-mature,Fair
1310,Arborvitae,Thuja sp,7,Semi-mature,Fair
1311,Hemlock-Canadian,Tsuga canadensis,8,Semi-mature,Fair
1312,Arborvitae-Eastern,Thuja occidentalis,2,Semi-mature,Fair
1313,Spruce-Colorado Blue,Picea pungens,6,Semi-mature,Fair
1314,Spruce-Colorado Blue,Picea pungens,5,Semi-mature,Fair
1315,Elm,Ulmus sp,2,New planting,Fair
1316,Elm,Ulmus sp,2,New planting,Fair
1317,Elm,Ulmus sp,2,New planting,Fair
1318,Elm,Ulmus sp,2,New planting,Fair
1319,Elm,Ulmus sp,2,New planting,Fair
1320,Elm,Ulmus sp,2,New planting,Fair
1321,Elm,Ulmus sp,2,New planting,Fair
1322,Honeylocust-Thornless Common,Gleditsia triacanthos,2,New planting,Fair
1323,Honeylocust-Thornless Common,Gleditsia triacanthos,3,Young,Fair
1324,Honeylocust-Thornless Common,Gleditsia triacanthos,2,New planting,Fair
1325,Honeylocust-Thornless Common,Gleditsia triacanthos,2,New planting,Fair
1326,Honeylocust-Thornless Common,Gleditsia triacanthos,2,New planting,Fair
1327,Honeylocust-Thornless Common,Gleditsia triacanthos,2,New planting,Fair
1328,Birch-River,Betula nigra,5,Semi-mature,Fair
1329,Birch-River,Betula nigra,4,Semi-mature,Fair
1330,Birch-River,Betula nigra,4,Semi-mature,Fair
1331,Birch-River,Betula nigra,5,Semi-mature,Fair
1332,Birch-River,Betula nigra,4,Semi-mature,Fair
1333,Birch-River,Betula nigra,5,Semi-mature,Fair
1334,Birch-River,Betula nigra,4,Semi-mature,Fair
1335,Birch-River,Betula nigra,5,Semi-mature,Fair
1336,Birch-River,Betula nigra,5,Semi-mature,Fair
1337,Birch-River,Betula nigra,4,Semi-mature,Fair
1338,Birch-River,Betula nigra,4,Semi-mature,Fair
1339,Linden-Silver,Tilia tomentosa,8,Semi-mature,Fair
1340,Linden-Silver,Tilia tomentosa,9,Semi-mature,Poor
1341,Birch-River,Betula nigra,2,New planting,Fair
1342,Birch-River,Betula nigra,2,New planting,Fair
1343,Birch-River,Betula nigra,2,New planting,Fair
1344,Birch-River,Betula nigra,2,New planting,Fair
1345,Birch-River,Betula nigra,1,New planting,Fair
1346,Birch-River,Betula nigra,2,New planting,Fair
1347,Birch-River,Betula nigra,1,New planting,Fair
1348,Birch-River,Betula nigra,2,New planting,Fair
1349,Birch-River,Betula nigra,2,New planting,Fair
1350,Birch-River,Betula nigra,1,New planting,Fair
1351,Birch-River,Betula nigra,1,New planting,Poor
1352,Birch-River,Betula nigra,1,New planting,Fair
1353,Birch-River,Betula nigra,5,Semi-mature,Fair
1354,Birch-River,Betula nigra,6,Semi-mature,Fair
1355,Elm,Ulmus sp,7,Semi-mature,Poor
1356,Tupelo-Black,Nyssa sylvatica,1,New planting,Fair
1357,Fir-Balsam,Abies balsamea,1,New planting,Fair
1358,Planetree-London,Platanus x acerifolia,2,New planting,Fair
1359,Planetree-London,Platanus x acerifolia,2,New planting,Fair
1360,Elm,Ulmus sp,2,New planting,Fair
1361,Elm,Ulmus sp,2,New planting,Fair
1362,Elm,Ulmus sp,2,New planting,Fair
1363,Elm,Ulmus sp,2,New planting,Fair
1364,Elm,Ulmus sp,2,New planting,Fair
1365,Elm,Ulmus sp,2,New planting,Fair
1366,Elm,Ulmus sp,2,New planting,Fair
1367,Redcedar-Eastern,Juniperus virginiana,6,Semi-mature,Fair
1368,Serviceberry,Amelanchier sp,5,Mature,Fair
1369,Serviceberry,Amelanchier sp,2,Semi-mature,Fair
1370,Serviceberry,Amelanchier sp,3,Semi-mature,Fair
1371,Serviceberry,Amelanchier sp,3,Semi-mature,Fair
1372,Serviceberry,Amelanchier sp,3,Semi-mature,Fair
1373,Serviceberry,Amelanchier sp,2,Semi-mature,Fair
1374,Serviceberry,Amelanchier sp,4,Mature,Fair
1375,Honeylocust-Thornless Common,Gleditsia triacanthos,2,New planting,Fair
1376,Honeylocust-Thornless Common,Gleditsia triacanthos,2,New planting,Fair
1377,Hawthorn,Crataegus sp,5,Mature,Fair
1378,Hawthorn,Crataegus sp,6,Mature,Fair
1379,Hawthorn,Crataegus sp,5,Mature,Fair
1380,Hawthorn,Crataegus sp,6,Mature,Fair
1381,Hawthorn,Crataegus sp,6,Mature,Fair
1382,Hawthorn,Crataegus sp,5,Mature,Fair
1383,Hawthorn,Crataegus sp,5,Mature,Fair
1384,Hawthorn,Crataegus sp,6,Mature,Fair
1385,Hawthorn,Crataegus sp,6,Mature,Fair
1386,Hawthorn,Crataegus sp,6,Mature,Fair
1387,Hawthorn,Crataegus sp,5,Mature,Fair
1388,Hawthorn,Crataegus sp,6,Mature,Fair
1389,Hawthorn,Crataegus sp,6,Mature,Fair
1390,Hawthorn,Crataegus sp,7,Mature,Fair
1391,Hawthorn,Crataegus sp,7,Mature,Fair
1392,Hawthorn,Crataegus sp,8,Mature,Fair
1393,Hawthorn,Crataegus sp,7,Mature,Fair
1394,Hawthorn,Crataegus sp,7,Mature,Fair
1395,Hawthorn,Crataegus sp,6,Mature,Fair
1396,Hawthorn,Crataegus sp,5,Mature,Fair
1397,Hawthorn,Crataegus sp,6,Mature,Fair
1398,Hawthorn,Crataegus sp,5,Mature,Fair
1399,Hawthorn,Crataegus sp,6,Mature,Fair
1400,Hawthorn,Crataegus sp,5,Mature,Fair
1401,Pine-Austrian,Pinus nigra,14,Semi-mature,Fair
1402,Pine-Eastern White,Pinus strobus,13,Semi-mature,Fair
1403,Pine-Eastern White,Pinus strobus,15,Semi-mature,Good
1404,Horsechestnut-Common,Aesculus hippocastanum,10,Semi-mature,Good
1405,Horsechestnut-Common,Aesculus hippocastanum,13,Semi-mature,Good
1406,Birch-Paper,Betula papyrifera,5,Semi-mature,Good
1407,Birch-Paper,Betula papyrifera,4,Semi-mature,Good
1408,Birch-Paper,Betula papyrifera,4,Semi-mature,Good
1409,Birch-Paper,Betula papyrifera,4,Semi-mature,Good
1410,Birch-Paper,Betula papyrifera,4,Semi-mature,Fair
1411,Crabapple,Malus sp,6,Mature,Fair
1412,Crabapple,Malus sp,8,Mature,Fair
1413,Lilac-Japanese Tree,Syringa reticulata,4,Semi-mature,Fair
1414,Oak-Pin,Quercus palustris,14,Semi-mature,Fair
1415,Oak-Pin,Quercus palustris,13,Semi-mature,Good
1416,Linden-European,Tilia x europaea,3,Young,Good
1417,Crabapple,Malus sp,12,Mature,Fair
1418,Crabapple,Malus sp,11,Mature,Good
1419,Honeylocust-Thornless Common,Gleditsia triacanthos,3,Young,Good
1420,Honeylocust-Thornless Common,Gleditsia triacanthos,2,Young,Good
1421,Hawthorn,Crataegus sp,4,Mature,Fair
1422,Hawthorn,Crataegus sp,5,Mature,Fair
1423,Ash-White,Fraxinus americana,4,Young,Good
1424,Ash-Green,Fraxinus pennsylvanica,4,Young,Good
1425,Ash-Green,Fraxinus pennsylvanica,4,Young,Fair
1426,Ash-Green,Fraxinus pennsylvanica,4,Young,Good
1427,Ash-Green,Fraxinus pennsylvanica,4,Young,Good
1428,Hawthorn,Crataegus sp,8,Mature,Fair
1429,Crabapple,Malus sp,10,Mature,Good
1430,Crabapple,Malus sp,7,Mature,Good
1431,Arborvitae-Eastern,Thuja occidentalis,4,Semi-mature,Good
1432,Birch-Paper,Betula papyrifera,10,Mature,Good
1433,Hawthorn,Crataegus sp,4,Mature,Fair
1434,Linden-European,Tilia x europaea,9,Semi-mature,Fair
1435,Birch-Paper,Betula papyrifera,7,Semi-mature,Good
1436,Birch-Paper,Betula papyrifera,2,Young,Fair
1437,Birch-Paper,Betula papyrifera,8,Mature,Fair
1438,Maple-Sugar,Acer saccharum,17,Mature,Fair
1439,Birch-Paper,Betula papyrifera,10,Mature,Good
1440,Cherry,Prunus sp,2,Semi-mature,Good
1441,Pine-Eastern White,Pinus strobus,16,Mature,Fair
1442,Elm-American,Ulmus americana,16,Semi-mature,Fair
1443,Arborvitae-Eastern,Thuja occidentalis,11,Mature,Good
1444,Pine-Eastern White,Pinus strobus,19,Mature,Good
1445,Pine-Eastern White,Pinus strobus,18,Mature,Fair
1446,Pine-Eastern White,Pinus strobus,17,Mature,Good
1447,Pine-Eastern White,Pinus strobus,17,Mature,Fair
1448,Pine-Eastern White,Pinus strobus,17,Mature,Fair
1449,Boxelder,Acer negundo,15,Mature,Good
1450,Oak-English,Quercus robur,4,Young,Good
1451,Oak-Bur,Quercus macrocarpa,5,Young,Good
1452,Oak-Bur,Quercus macrocarpa,4,Young,Good
